Waypoints
Date,Name,Latitude,Longitude,Altitude (m),Notes
2023-09-15 09:25:30.71,15 Sep 2023 at 5:25 pm,14.634686,121.074877,53.9300201786682,"Horizontal Accuracy: ± 8 m
Vertical Accuracy: ± 3 m"
2023-09-15 09:26:05.58,15 Sep 2023 at 5:26 pm,14.634686,121.074835,55.33390252478421,"Horizontal Accuracy: ± 5 m
Vertical Accuracy: ± 3 m"
2023-09-15 09:26:58.69,15 Sep 2023 at 5:26 pm,14.634793,121.076148,56.77485846541822,"Horizontal Accuracy: ± 5 m
Vertical Accuracy: ± 3 m"
2023-09-15 09:28:47.05,15 Sep 2023 at 5:28 pm,14.637662,121.076383,58.48841483239084,"Horizontal Accuracy: ± 5 m
Vertical Accuracy: ± 3 m"
2023-09-15 09:29:39.50,15 Sep 2023 at 5:29 pm,14.637848,121.074969,58.03741451445967,"Horizontal Accuracy: ± 5 m
Vertical Accuracy: ± 3 m"
2023-09-15 09:31:53.54,15 Sep 2023 at 5:31 pm,14.640952,121.076248,61.27716573234648,"Horizontal Accuracy: ± 19 m
Vertical Accuracy: ± 3 m"

Track
Date(GMT),Date(Local),Time(sec),Latitude,Longitude,Horizontal Accuracy(m),Altitude(m),Vertical Accuracy(m),Distance(m),Speed(m/s),Average Speed(m/s),Course(deg),True Heading(deg),Magnetic Heading(deg),Heading Accuracy(deg),Glide Ratio,Heart Rate (bpm)
2023-09-15 09:18:58.00,2023-09-15 17:18:58.00,648.0169439315796,14.638310,121.078532,4.735949527210202,62.09723580814898,3.37569535185068,1641.7606059076,3.791660211900858,4.371411668123606,215.3285853254078,213.3047485351562,216.0111694335938,10,-21.86923994999107,0
2023-09-15 09:18:59.00,2023-09-15 17:18:59.00,649.016930937767,14.638276,121.078513,4.736393923212795,61.99076532013714,3.375071797301761,1646.066603581655,3.805144905519008,4.371411668123606,214.221505735441,213.3047485351562,216.0111694335938,10,-22.30084806255747,0
2023-09-15 09:19:00.00,2023-09-15 17:19:00.00,650.0169429779053,14.638249,121.078493,4.737149164338549,61.65370315127075,3.374011681603284,1649.74687888931,3.557428282930934,4.371411668123606,214.9414033573999,212.294189453125,215.0006103515625,10,-21.10438586694878,0
2023-09-15 09:19:01.00,2023-09-15 17:19:01.00,651.0169239044189,14.638222,121.078478,4.738419483976501,61.72657322324812,3.372227428074908,1653.160891321674,3.357141154176598,3.857176277520955,214.5819304114338,212.294189453125,215.0006103515625,10,-19.89208830204237,0
2023-09-15 09:19:02.00,2023-09-15 17:19:02.00,652.0169459581375,14.638204,121.078445,4.73914300435733,61.7848510183394,3.371210556616098,1657.211821143338,3.195660280925014,3.857176277520955,213.5820770263672,212.294189453125,215.0006103515625,10,-19.81046225345203,0
2023-09-15 09:19:03.00,2023-09-15 17:19:03.00,653.0160329341888,14.638185,121.078430,4.738874355787901,61.9471885189414,3.371588182569846,1659.873212353991,2.814298760016349,3.857176277520955,214.2393493652344,213.3453674316406,216.0517883300781,10,-20.60684506727354,0
2023-09-15 09:19:04.00,2023-09-15 17:19:04.00,654.0169140100479,14.638167,121.078417,4.737568791218107,61.64277769159526,3.37342244334519,1662.385800349286,2.522682871251986,3.857176277520955,214.2393493652344,214.3601837158203,217.0666046142578,10,-22.779321141943,0
2023-09-15 09:19:05.00,2023-09-15 17:19:05.00,655.0169059038162,14.638150,121.078405,4.736144827276364,61.74760238733143,3.375421337826166,1664.636405067805,2.292005183992168,3.857176277520955,214.2393493652344,214.3601837158203,217.0666046142578,10,-24.57672923980164,0
2023-09-15 09:19:06.00,2023-09-15 17:19:06.00,656.0170069932938,14.638131,121.078392,4.735507794838751,61.6750573636964,3.376314996828684,1667.158984919431,2.370470787927573,2.578098133886194,214.2393493652344,214.3601837158203,217.0666046142578,10,-26.15607949776084,0
2023-09-15 09:19:07.00,2023-09-15 17:19:07.00,657.016891002655,14.638112,121.078379,4.736637591868567,61.46591432578862,3.374729819716889,1669.6845056541,2.535778990351814,2.578098133886194,214.2393493652344,214.2664184570312,216.9728393554688,10,-27.16562760911006,0
2023-09-15 09:19:08.00,2023-09-15 17:19:08.00,658.0168689489365,14.638092,121.078365,4.736524881432413,61.19668253045529,3.374888010047222,1672.321131170313,2.628236916549593,2.578098133886194,214.2393493652344,214.2664184570312,216.9728393554688,10,-30.03329647408276,0
2023-09-15 09:19:09.00,2023-09-15 17:19:09.00,659.0168619155884,14.638075,121.078353,4.736552951245331,61.12678671255708,3.374848614803038,1674.614604770773,2.624505411036321,2.578098133886194,214.2393493652344,214.2664184570312,216.9728393554688,10,-31.08032893260157,0
2023-09-15 09:19:10.00,2023-09-15 17:19:10.00,660.0161859989166,14.638054,121.078338,4.736457418956071,61.00853039976209,3.374982689022985,1677.497281558926,2.787920838843545,2.578098133886194,214.2393493652344,213.2303161621094,215.9367370605469,10,-31.08790440179847,0
2023-09-15 09:19:11.00,2023-09-15 17:19:11.00,661.0168489217758,14.638024,121.078317,4.736435705960629,60.96484503988177,3.375013160876573,1681.433157568387,3.413515196610529,2.627367368132763,214.2393493652344,214.2979888916016,217.0044097900391,10,-29.87834500694478,0
2023-09-15 09:19:12.00,2023-09-15 17:19:12.00,662.0159789323807,14.637990,121.078293,4.737086719780146,60.88248529564589,3.374099352726799,1686.057418763857,4.129059364001021,2.627367368132763,214.2393493652344,213.2145538330078,215.9209747314453,10,-28.27304357430265,0
2023-09-15 09:19:13.00,2023-09-15 17:19:13.00,663.0168199539185,14.637952,121.078265,4.736745605938365,60.84521068073809,3.374578210297166,1691.160212483232,4.77101520196017,2.627367368132763,215.6835021972656,213.2145538330078,215.9209747314453,10,-29.22342755369824,0
2023-09-15 09:19:14.00,2023-09-15 17:19:14.00,664.0167149305344,14.637903,121.078248,4.737016791016519,60.86354108061641,3.374197527474704,1696.878496614325,5.163375070980045,2.627367368132763,215.6835021972656,212.1120910644531,214.8185119628906,10,-32.88642453007481,0
2023-09-15 09:19:15.00,2023-09-15 17:19:15.00,665.017028927803,14.637861,121.078216,4.736749850018573,61.04394412506372,3.374572253062283,1702.681444718539,5.594095958904739,2.627367368132763,215.6835021972656,212.1120910644531,214.8185119628906,10,-40.57432010107923,0
2023-09-15 09:19:16.00,2023-09-15 17:19:16.00,666.0168190002441,14.637815,121.078185,4.737017648078288,61.25773990806192,3.374196324250218,1708.826208174677,5.937653684724344,5.298868043404757,215.6835021972656,211.0933837890625,213.7998046875,10,-55.87001727474362,0
2023-09-15 09:19:17.00,2023-09-15 17:19:17.00,667.0168550014496,14.637780,121.078138,4.736306504928973,61.61536535155028,3.375194472049919,1715.209380830809,6.118499323174632,5.298868043404757,215.6835021972656,212.1341552734375,214.840576171875,10,-78.87903308366573,0
2023-09-15 09:19:18.00,2023-09-15 17:19:18.00,668.016832947731,14.637734,121.078104,4.736591175992444,61.59762881789356,3.374794966260817,1721.443133251249,6.2760576500694,6.198877202869078,215.6835021972656,213.1432952880859,215.8497161865234,10,-147.9953668607457,0
2023-09-15 09:19:19.00,2023-09-15 17:19:19.00,669.0168279409409,14.637686,121.078069,4.736940893888635,61.38471328373998,3.374304076486644,1727.925771880811,6.396273008513722,6.198877202869078,215.6835021972656,213.1432952880859,215.8497161865234,10,-199.0324500098198,0
2023-09-15 09:19:20.00,2023-09-15 17:19:20.00,670.0168060064316,14.637633,121.078030,4.737695800303944,61.21522386930883,3.373244067151265,1735.1781997213,6.776044238502696,6.408373160543075,215.6835021972656,212.1373291015625,214.84375,10,-272.3236672347512,0
2023-09-15 09:19:21.00,2023-09-15 17:19:21.00,671.0167909860611,14.637581,121.077991,4.738252110730369,61.13080227561295,3.372462596967984,1742.286428305195,6.992547262462271,6.408373160543075,215.6835021972656,212.1373291015625,214.84375,10,-197.7033428116645,0
2023-09-15 09:19:21.99,2023-09-15 17:19:21.99,672.0163459777832,14.637529,121.077953,4.73828381261925,60.80697408784181,3.372418055914661,1749.400300730448,7.020273930069435,7.068444350089535,215.6835021972656,212.1373291015625,214.84375,10,-179.1771492333808,0
